S.No,Year,Normal Rainfall in Hot Weather Season,Actual Rainfall in Hot Weather Season,Normal Rainfall in South West Monsoon,Actual Rainfall in South West Monsoon,Normal Rainfall in North East Monsoon,Actual Rainfall in North East Monsoon,Normal Rainfall in Winter Season,Actual Rainfall in Winter Season,Total Normal Rainfall,Total Actual Rainfall,Percentage Deviation
1,1994-95,135.1,164.4,158.2,754.3,328.2,567.6,25.6,0.1,647.1,1486.4,129.7
2,1995-96,135.1,177.3,158.2,579.9,328.2,194.1,25.6,0.5,647.1,951.8,47.1
3,1996-97,135.1,126.6,158.2,181.4,328.2,340.5,25.6,1.2,647.1,649.7,0.4
4,1997-98,135.1,75,158.2,167.7,328.2,571.9,25.6,0.6,647.1,815.2,26.0
5,1998-99,135.1,69.8,158.2,229.7,328.2,434.8,25.6,16,647.1,750.3,16.0
6,1999-00,135.1,92.3,158.2,87.1,328.2,504.7,25.6,68.7,647.1,752.8,16.3
7,2000-01,135.1,141.9,158.2,339,328.2,179.8,25.6,5,647.1,665.7,2.9
8,2001-02,135.1,66.2,158.3,152.4,328.2,327,25.6,6.1,647.2,551.7,-14.8
9,2002-03,135.1,69.6,158.3,78.6,328.2,62.8,25.6,17.6,647.2,228.6,-64.7
10,2003-04,148.4,202,192.9,90.1,327,205.4,26.1,16.7,694.4,514.2,-26.0
11,2004-05,148.4,294.7,192.9,233.3,327,260.2,26.1,26.6,694.4,814.8,17.3
12,2005-06,148.4,162.1,192.9,177.6,327,505.7,26.1,17.7,694.4,863.1,24.3
13,2006-07,148.4,128.4,192.9,141.5,327,444.3,26.1,11.1,694.4,725.3,4.4
14,2007-08,148.4,190.8,192.9,204.3,327,378,26.1,25,694.4,798.1,14.9
15,2008-09,148.4,157.3,192.9,695,327,312.2,26.1,1.3,694.4,1165.8,67.9
16,2009-10,150.2,101.5,192.9,765.4,327,306.1,26.1,4.8,696.2,1177.8,69.2
17,2010-11,150.3,194.6,233.1,188,341.9,437,20.3,82.9,745.6,902.5,21.0
18,2011-12,168,140.4,189.8,252.9,328.9,410.7,20.3,2.6,707,806.6,14.1
19,2012-13,150.3,121.2,189.8,162.4,320.9,278.5,20.3,57.8,681.3,619.9,-9.0
20,2013-14,150.3,141,189.8,596.7,328.9,257.9,20.3,5.1,689.3,1000.7,45.2
21,2014-15,150.3,342.3,189.8,764.2,328.9,311.6,20.3,0,689.3,1418.1,105.7
22,2015-16,150.3,118,189.8,309.4,328.9,341.1,20.3,23,689.3,791.5,15.0
23,2016-17,150.3,650.84,189.8,139.95,328.9,9.14,20.3,175.5,689.3,975.4,41.5
24,2017-18,150.3,342.14,189.8,954.9,328.9,191.4,20.3,15.2,689.3,1503.6,118.1
